Name,Elo
mercedes,2282.56
ferrari,2147.12
red_bull,2314.32
force_india,1903.07
renault,1911.88
mclaren,1994.81
haas,1801.97
toro_rosso,1907.25
williams,1876.42
sauber,1921.1
alfa,1901.2
racing_point,1895.47
alphatauri,1761.17
aston_martin,1940.73
alpine,1845.99
rb,1708.13
audi,1793.56
cadillac,1804.21
